framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1655.48	2006.22	1655.48	0.0003	26.8	98.4	100	100	90	15.02	124.5	41.5	0	1389.61	0	-0.009	3	444	299	68	83.56	13776.09
angular	True	6547	2.36	193581	61947	3	90.45	3.12	5492	104	1760.22	2315.95	1760.22	0.0001	9.2	97	100	100	90	24.1	109.5	36.5	0	1399.82	0	-0.003	13	859	484	89	616.31	29894.72
jquery	True	1159	2.26	100009	34722	1	99.5	2.88	1573	119	1829.95	2029.62	1829.95	0.1459	0	92	100	99.2	90	14.96	114.4	38.13	0	1395.26	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	738	2.21	59808	15719	1	98.81	3.8	1570	120	1547.4	1852.11	1547.4	0.055	2	99	96	100	90	14.86	114.6	38.2	0	1388.52	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	19.2	179.3	50.16	0	1398.08	44.8	0	4	321	234	67	154.88	17543.75
preact	True	752	2.18	27622	10088	1	100	2.74	1025	104	1359.02	1635.72	1359.02	0.0001	0	99.8	100	100	90	13.52	114.5	38.17	0	1392.88	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1240	2.25	91158	34628	13	100	2.63	1573	119	1402.55	2125.21	1402.55	1.0089	0	74	96	100	90	14.92	109.5	36.5	0	1398.73	0	-0.005	16	754	415	83	861.8	26425.59
react	True	1297	2.31	158538	50256	1	100	3.15	1023	105	1948.23	2253.74	1948.23	0.0001	69.4	95.4	100	100	90	14.58	94.4	31.47	0	1381.77	0	-0.004	13	762	438	90	634.69	24213.69
solid	True	1101	2.18	26458	9243	1	100	2.86	1569	118	1391.51	1546.06	1391.51	0.0001	0	99.6	100	100	90	12.81	114.6	19.93	0	1377.25	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	2905	2.27	117668	38608	11	68.6	3.05	1027	104	1670.32	2059.68	1670.32	0	0	98.2	100	96	90	13.8	109.5	19.08	0	1384.74	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1250.81	1552.15	1250.81	0.146	0	94	100	96	90	15.12	114.3	38.1	0	1397.87	0	-0.007	3	560	426	74	71.69	20768.9
vanjs	True	647	2.17	17211	5999	1	96.97	2.87	1026	104	1220.38	1427.76	1220.38	0.0001	0	100	100	100	90	13.56	114.6	19.93	0	1374.43	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1340	2.23	76585	29349	1	100	2.61	1580	118	1628.89	1858.33	1628.89	0.0001	0.4	99	100	100	90	15.22	89.5	29.83	0	1452.11	0	-0.004	11	677	217	57	686.46	10853.47
